director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_imdb_link
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance,rules of engagement            ,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller,duplicity,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi,my favorite martian,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51,http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance,intolerable cruelty,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport,trouble with the curve,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime,analyze that,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1
Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller,mercury rising,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music,the soloist,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1
Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport,the legend of bagger vance,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy,garfield 2,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller,event horizon,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller,the black dahlia,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1
Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller,the last castle,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller,supernova,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance,winter's tale,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance,the mortal instruments: city of bones,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi,meet dave,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller,dark water,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama,edtv,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy,inkheart,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller,the spirit,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War,beyond borders,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War,the great raid,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi,deadpool,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy Drama,holy man,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror,goosebumps,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,Comedy Family Fantasy,"sabrina, the teenage witch            ",http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance,just like heaven,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi,the flintstones in viva rock vegas,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,rambo iii,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport,leatherheads,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western,the ridiculous 6,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance,did you hear about the morgans?,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,resident evil: afterlife,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,Comedy Romance,sex and the city            ,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,the devil's advocate,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,dragonheart,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,after the sunset,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,ghost rider: spirit of vengeance,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War,captain corelli's mandolin,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy Romance,anger management            ,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,the pacifier,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama,forrest gump,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music,alvin and the chipmunks,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,pocahontas,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,superman,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,the nutty professor,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,hitch,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,george of the jungle,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,american wedding,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller,captain phillips,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1
Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,date night,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,casper,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller,the equalizer,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,maid in manhattan,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,crimson tide,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,the pursuit of happyness,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,flightplan,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,disclosure,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,city of angels,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1
unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,stargate sg-1            ,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,kill bill: vol. 2,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,tango & cash,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,death becomes her,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,shanghai noon,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,executive decision,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy,mr. popper's penguins,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,the forbidden kingdom,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure Animation Comedy Family,free birds,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,alien 3,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,evita,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,ronin,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller,the ghost and the darkness,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,Animation Comedy Family Fantasy,paddington,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,Action Comedy Sci-Fi,the watch,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,the hunted,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller,instinct,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,stuck on you,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport,semi-pro,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family,the pirates! band of misfits,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,changeling,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,chain reaction,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,the fan,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller,the phantom of the opera,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War,elizabeth: the golden age,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,æon flux,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,gods and generals,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,turbulence,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy,imagine that,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical,muppets most wanted,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,thunderbirds,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1
Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,burlesque,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,a very long engagement,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,Crime Drama Romance,lolita,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,eye see you,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,blade ii,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama Romance,seven pounds,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action Thriller,bullet to the head,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,Crime Drama,the godfather: part iii,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy Drama Romance,elizabethtown,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy Romance,"you, me and dupree",http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action Adventure Romance Sci-Fi,superman ii,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy Crime Romance,gigli,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama Thriller,all the king's men,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,Action Crime Thriller,shaft,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure Animation Drama Family Fantasy Musical Mystery Romance,anastasia,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama Musical Romance,moulin rouge!,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1
